Validation_Set,Topics,Alpha,Beta,Coherence
100% Corpus,7,0.91,0.91,0.3173100126040072
100% Corpus,8,symmetric,symmetric,0.32471060861618595
100% Corpus,8,symmetric,0.01,0.31683593339757343
100% Corpus,8,symmetric,0.31,0.32243941290645306
100% Corpus,8,symmetric,0.61,0.32003306555750766
100% Corpus,8,symmetric,0.91,0.32136579952377564
100% Corpus,8,asymmetric,symmetric,0.3210476540476387
100% Corpus,8,asymmetric,0.01,0.31916951315387443
100% Corpus,8,asymmetric,0.31,0.32109843669547244
100% Corpus,8,asymmetric,0.61,0.3159250124164056
100% Corpus,8,asymmetric,0.91,0.3249103704343116
100% Corpus,8,0.01,symmetric,0.31916876995614735
100% Corpus,8,0.01,0.01,0.32217768754411635
100% Corpus,8,0.01,0.31,0.3202910123316359
100% Corpus,8,0.01,0.61,0.31806227626131295
100% Corpus,8,0.01,0.91,0.3207164558668193
100% Corpus,8,0.31,symmetric,0.32477732204661974
100% Corpus,8,0.31,0.01,0.32129170174604704
100% Corpus,8,0.31,0.31,0.32015737476718653
100% Corpus,8,0.31,0.61,0.3177362803742617
100% Corpus,8,0.31,0.91,0.31777112476529534
100% Corpus,8,0.61,symmetric,0.31713691943392786
100% Corpus,8,0.61,0.01,0.3173674023663329
100% Corpus,8,0.61,0.31,0.31908582311853284
100% Corpus,8,0.61,0.61,0.31832593031864753
100% Corpus,8,0.61,0.91,0.3164765270131704
100% Corpus,8,0.91,symmetric,0.3157334036411652
100% Corpus,8,0.91,0.01,0.3207355567277858
100% Corpus,8,0.91,0.31,0.31751126753073555
100% Corpus,8,0.91,0.61,0.31766691155830773
100% Corpus,8,0.91,0.91,0.31316299368809913
100% Corpus,9,symmetric,symmetric,0.3259588853849854
100% Corpus,9,symmetric,0.01,0.32275729075707443
100% Corpus,9,symmetric,0.31,0.32041777342078226
100% Corpus,9,symmetric,0.61,0.3215137565813019
100% Corpus,9,symmetric,0.91,0.32251493322241076
100% Corpus,9,asymmetric,symmetric,0.31605596411928394
100% Corpus,9,asymmetric,0.01,0.3256450721002133
100% Corpus,9,asymmetric,0.31,0.3187273033209921
100% Corpus,9,asymmetric,0.61,0.32021392669746107
100% Corpus,9,asymmetric,0.91,0.319031076599545
100% Corpus,9,0.01,symmetric,0.3160147133986706
100% Corpus,9,0.01,0.01,0.316901573496918
100% Corpus,9,0.01,0.31,0.3220300053635438
100% Corpus,9,0.01,0.61,0.3184446687971485
100% Corpus,9,0.01,0.91,0.3159174477775919
100% Corpus,9,0.31,symmetric,0.31827039435197463
100% Corpus,9,0.31,0.01,0.31391657052832306
100% Corpus,9,0.31,0.31,0.320199349232161
100% Corpus,9,0.31,0.61,0.3172737749929454
100% Corpus,9,0.31,0.91,0.3200747532192898
100% Corpus,9,0.61,symmetric,0.3170127687534534
100% Corpus,9,0.61,0.01,0.318451153734856
100% Corpus,9,0.61,0.31,0.31586403157284765
100% Corpus,9,0.61,0.61,0.31384160914606646
100% Corpus,9,0.61,0.91,0.317197742737797
100% Corpus,9,0.91,symmetric,0.31796908588660844
100% Corpus,9,0.91,0.01,0.3161098916452402
100% Corpus,9,0.91,0.31,0.31910377618205876
100% Corpus,9,0.91,0.61,0.3157324531698066
100% Corpus,9,0.91,0.91,0.31827153879212555
100% Corpus,10,symmetric,symmetric,0.3157585444280836
100% Corpus,10,symmetric,0.01,0.31360486004495336
100% Corpus,10,symmetric,0.31,0.32221037422343385
100% Corpus,10,symmetric,0.61,0.32043015479081716
100% Corpus,10,symmetric,0.91,0.3209500635489772
100% Corpus,10,asymmetric,symmetric,0.3191143325562388
100% Corpus,10,asymmetric,0.01,0.32176352567917066
100% Corpus,10,asymmetric,0.31,0.32258283662164994
100% Corpus,10,asymmetric,0.61,0.3169055380777695
