Validation_Set,Topics,Alpha,Beta,Coherence
100% Corpus,5,0.01,0.91,0.43250910536952275
100% Corpus,5,0.31,symmetric,0.4296015629527785
100% Corpus,5,0.31,0.01,0.44439075643530224
100% Corpus,5,0.31,0.31,0.44436610844395086
100% Corpus,5,0.31,0.61,0.4413593291409238
100% Corpus,5,0.31,0.91,0.4352694816137491
100% Corpus,5,0.61,symmetric,0.4391200316935738
100% Corpus,5,0.61,0.01,0.44001799454430446
100% Corpus,5,0.61,0.31,0.43507461613480647
100% Corpus,5,0.61,0.61,0.44222475548513424
100% Corpus,5,0.61,0.91,0.43462782739367123
100% Corpus,5,0.91,symmetric,0.4343908639306653
100% Corpus,5,0.91,0.01,0.4296090863670023
100% Corpus,5,0.91,0.31,0.4409988987098844
100% Corpus,5,0.91,0.61,0.4330283262743383
100% Corpus,5,0.91,0.91,0.4346359658602724
100% Corpus,6,symmetric,symmetric,0.435178003408496
100% Corpus,6,symmetric,0.01,0.4514025975867766
100% Corpus,6,symmetric,0.31,0.4417586743971203
100% Corpus,6,symmetric,0.61,0.4335237041257453
100% Corpus,6,symmetric,0.91,0.4396474137782458
100% Corpus,6,asymmetric,symmetric,0.4455882737541525
100% Corpus,6,asymmetric,0.01,0.43829446579455605
100% Corpus,6,asymmetric,0.31,0.44551907258738366
100% Corpus,6,asymmetric,0.61,0.4461694394701204
100% Corpus,6,asymmetric,0.91,0.4421133426992598
100% Corpus,6,0.01,symmetric,0.4314528295824584
100% Corpus,6,0.01,0.01,0.4355967903226176
100% Corpus,6,0.01,0.31,0.4413011377474097
100% Corpus,6,0.01,0.61,0.44299967017806274
100% Corpus,6,0.01,0.91,0.4403242663437774
100% Corpus,6,0.31,symmetric,0.43717448746640625
100% Corpus,6,0.31,0.01,0.4304053182999001
100% Corpus,6,0.31,0.31,0.4364793733422596
100% Corpus,6,0.31,0.61,0.4387501780939446
100% Corpus,6,0.31,0.91,0.4354411906283134
100% Corpus,6,0.61,symmetric,0.43573202251197124
100% Corpus,6,0.61,0.01,0.4393806872806672
100% Corpus,6,0.61,0.31,0.4348310898992358
100% Corpus,6,0.61,0.61,0.43549922925068957
100% Corpus,6,0.61,0.91,0.43769952916229626
100% Corpus,6,0.91,symmetric,0.4346847039224326
100% Corpus,6,0.91,0.01,0.4379842537019311
100% Corpus,6,0.91,0.31,0.4394506630531631
100% Corpus,6,0.91,0.61,0.4339193940484552
100% Corpus,6,0.91,0.91,0.4419282739892791
100% Corpus,7,symmetric,symmetric,0.4416107876213044
100% Corpus,7,symmetric,0.01,0.44038196664498297
100% Corpus,7,symmetric,0.31,0.43626548354998557
100% Corpus,7,symmetric,0.61,0.427723976218489
100% Corpus,7,symmetric,0.91,0.43429433398264455
100% Corpus,7,asymmetric,symmetric,0.4440075263193529
100% Corpus,7,asymmetric,0.01,0.4354380145925868
100% Corpus,7,asymmetric,0.31,0.4378776747143634
100% Corpus,7,asymmetric,0.61,0.4411880487255468
100% Corpus,7,asymmetric,0.91,0.4547009430889729
100% Corpus,7,0.01,symmetric,0.42984605477264415
100% Corpus,7,0.01,0.01,0.43767849528438074
100% Corpus,7,0.01,0.31,0.4260582722761643
100% Corpus,7,0.01,0.61,0.4318106094663205
100% Corpus,7,0.01,0.91,0.4334193610900901
100% Corpus,7,0.31,symmetric,0.44414751189880086
100% Corpus,7,0.31,0.01,0.4240524004229868
100% Corpus,7,0.31,0.31,0.4353355154157254
100% Corpus,7,0.31,0.61,0.43609328206400005
100% Corpus,7,0.31,0.91,0.4369627827982527
100% Corpus,7,0.61,symmetric,0.43358577321208763
100% Corpus,7,0.61,0.01,0.4433497892853679
100% Corpus,7,0.61,0.31,0.43765207788616994
100% Corpus,7,0.61,0.61,0.4384575981356805
100% Corpus,7,0.61,0.91,0.44006226782769714
100% Corpus,7,0.91,symmetric,0.4318803489621598
100% Corpus,7,0.91,0.01,0.43791192279472285
100% Corpus,7,0.91,0.31,0.44369443638267914
100% Corpus,7,0.91,0.61,0.4412474689574246
100% Corpus,7,0.91,0.91,0.4377108534354529
100% Corpus,8,symmetric,symmetric,0.4319194367439516
100% Corpus,8,symmetric,0.01,0.437609452463777
100% Corpus,8,symmetric,0.31,0.4408943149699105
100% Corpus,8,symmetric,0.61,0.4246724672136159
100% Corpus,8,symmetric,0.91,0.4363139401647369
100% Corpus,8,asymmetric,symmetric,0.4431480143672532
100% Corpus,8,asymmetric,0.01,0.441041533669343
100% Corpus,8,asymmetric,0.31,0.4390936318199099
100% Corpus,8,asymmetric,0.61,0.44922933394065745
100% Corpus,8,asymmetric,0.91,0.43984182097055313
100% Corpus,8,0.01,symmetric,0.4369565031973137
100% Corpus,8,0.01,0.01,0.43178847403638954
100% Corpus,8,0.01,0.31,0.4375466523705843
